a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement
sample016_ac47e9d0,1,12,sample128_3857eff1,1,12,1,0
sample065_f352d7d0,1,5,sample057_29b21bea,1,3,1,0
sample101_fae0484f,1,12,sample169_2e4395a7,1,6,1,0
sample196_3469b979,1,3,sample050_4cbe8ba0,1,3,1,0
sample025_76911851,1,12,sample070_ecd1d324,1,12,1,0
sample085_dd90578a,1,12,sample002_4e908fd2,1,3,1,0
sample128_3857eff1,1,12,sample010_86c5159a,1,11,1,0
sample240_f834f12b,1,3,sample228_398bd9c3,1,12,1,0
sample161_04667130,1,12,sample016_ac47e9d0,1,12,1,0
sample026_cce061cf,1,12,sample060_c4420875,1,3,1,0
sample084_c70d4e6b,1,12,sample209_bed041d7,1,3,1,0
sample052_bcf1cb6d,1,3,sample237_9472557e,1,3,1,0
sample201_5430f370,1,3,sample154_f1fb8e99,1,3,1,0
sample025_76911851,1,12,sample140_9355c8d3,1,12,1,0
sample032_efba1c76,1,3,sample213_d8480af4,1,3,1,0
