a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement,a_listen_ms,b_listen_ms,a_play_count,b_play_count
sample003_627b76ff,1,10,sample246_e8541fc4,1,8,1,0,2633,1951,1,1
sample004_a72e2802,1,3,sample246_e8541fc4,1,8,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample005_a84d1a77,1,10,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample006_fe39613e,1,12,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample007_6d0d70d7,1,6,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample008_056930c5,1,10,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample009_36a064d0,1,12,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample246_e8541fc4,1,8,sample010_86c5159a,1,11,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample001_3c29c5ba,1,3,sample247_388ecf10,1,7,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample247_388ecf10,1,7,sample002_4e908fd2,1,3,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample003_627b76ff,1,10,sample247_388ecf10,3,7,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample247_388ecf10,1,7,sample004_a72e2802,1,3,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample247_388ecf10,1,7,sample005_a84d1a77,1,10,0,SKIPPED_ALL_CHUNKS_A,0,0,0,0
sample247_388ecf10,1,7,sample006_fe39613e,12,12,2,0,7625,1447,1,1
sample247_388ecf10,1,7,sample007_6d0d70d7,1,6,1,0,927,2144,1,1
sample219_9b7a084f,1,3,sample015_a93d8cfa,1,12,2,0,1704,704,1,1
sample084_c70d4e6b,1,12,sample125_1b5a54f4,1,12,2,0,1680,824,1,1
sample159_918aa5c3,1,12,sample170_e547d744,1,3,1,0,848,1560,1,1
sample101_fae0484f,1,12,sample180_e3d8d698,1,3,1,0,768,1776,1,1
sample022_dab4ef06,1,3,sample183_ca767767,1,3,1,0,904,1968,1,1
sample022_dab4ef06,1,3,sample004_a72e2802,1,3,2,0,1296,874,1,1
sample139_6badff7b,1,12,sample004_a72e2802,1,3,1,0,929,1032,1,1
sample003_627b76ff,1,10,sample029_6457d3d0,1,10,1,0,880,1553,1,1
sample004_a72e2802,1,3,sample029_6457d3d0,1,10,1,0,888,3200,1,1
sample001_3c29c5ba,1,3,sample040_2bfbed5d,1,12,0,SKIPPED_ALL_CHUNKS_B,0,0,0,0
sample040_2bfbed5d,12,12,sample004_a72e2802,3,3,1,0,930,2152,1,1
sample040_2bfbed5d,1,12,sample005_a84d1a77,1,10,1,0,776,1568,1,1
sample007_6d0d70d7,1,6,sample040_2bfbed5d,1,12,2,0,2647,906,1,1
