pair_index,a_file,b_file
0,speech_0908_11e92880,sample002_4e908fd2
1,sample003_627b76ff,sample002_4e908fd2
2,sample003_627b76ff,sample222_bfe748cb
3,sample033_e451edf0,sample222_bfe748cb
4,sample033_e451edf0,sample141_8b2cf3b6
5,sample204_baf7f138,sample141_8b2cf3b6
6,sample183_ca767767,sample204_baf7f138
7,sample233_4e88157a,sample183_ca767767
8,sample233_4e88157a,sample079_906be0f9
9,sample079_906be0f9,sample174_728e16bc
10,sample197_9fb7ce5f,sample174_728e16bc
11,sample197_9fb7ce5f,speech_0432_ecc70f99
12,sample091_671e5ef1,speech_0432_ecc70f99
13,sample159_918aa5c3,sample091_671e5ef1
14,sample159_918aa5c3,sample137_f533bb44
15,sample120_df4b6c69,sample137_f533bb44
16,sample218_2eaffa66,sample120_df4b6c69
17,sample218_2eaffa66,sample189_b2eb371f
18,sample072_ca368684,sample189_b2eb371f
19,sample021_d21d4bb3,sample072_ca368684
20,speech_0658_4764b9a3,sample021_d21d4bb3
21,sample083_f5ef4dc7,speech_0658_4764b9a3
22,sample238_fdf5ca49,sample083_f5ef4dc7
23,sample238_fdf5ca49,sample184_2c9ff4fe
24,sample158_3554df76,sample184_2c9ff4fe
25,sample026_cce061cf,sample158_3554df76
26,speech_0431_a2bad463,sample026_cce061cf
27,sample200_d8677912,speech_0431_a2bad463
28,sample166_8454c459,sample200_d8677912
29,sample166_8454c459,sample109_2f2d8c0a
30,sample244_f01a5078,sample109_2f2d8c0a
31,sample244_f01a5078,sample053_a2bad463
32,sample053_a2bad463,sample092_7e1324ef
33,sample102_436dc55f,sample092_7e1324ef
34,sample201_5430f370,sample102_436dc55f
35,sample201_5430f370,sample170_e547d744
36,speech_0055_ac47e9d0,sample170_e547d744
37,sample067_224b9d42,speech_0055_ac47e9d0
38,sample067_224b9d42,sample037_79498522
39,sample037_79498522,speech_0522_cdf92033
40,speech_0522_cdf92033,sample011_25be81fc
41,sample011_25be81fc,sample064_0b854809
42,sample073_a3f37a12,sample064_0b854809
43,sample073_a3f37a12,sample234_553dcff0
44,sample234_553dcff0,sample057_29b21bea
45,speech_0556_f352d7d0,sample057_29b21bea
46,sample192_144a35f2,speech_0556_f352d7d0
47,sample192_144a35f2,speech_0718_5b8ec916
48,sample012_1a3238c3,speech_0718_5b8ec916
49,sample245_2638b53c,sample012_1a3238c3
50,sample097_0a02c41a,sample245_2638b53c
51,sample097_0a02c41a,sample025_76911851
52,sample239_70abef06,sample025_76911851
53,speech_0885_7e1324ef,sample239_70abef06
54,speech_0885_7e1324ef,sample100_7eeb677c
55,sample100_7eeb677c,sample113_8ada680d
56,sample224_1fc3e356,sample113_8ada680d
57,speech_0480_29b21bea,sample224_1fc3e356
58,speech_0480_29b21bea,sample105_f7a5e5bd
59,speech_0384_2aff3b5d,sample105_f7a5e5bd
60,speech_0384_2aff3b5d,sample115_2bd91ef1
61,sample198_ee0e18d2,sample115_2bd91ef1
62,sample126_ff7c90d7,sample198_ee0e18d2
63,sample081_44c869d5,sample126_ff7c90d7
64,sample081_44c869d5,sample194_328dbd2a
65,sample194_328dbd2a,sample058_30b13499
66,sample058_30b13499,sample104_e61bf93a
67,speech_0796_61baefa8,sample104_e61bf93a
68,speech_0796_61baefa8,speech_0307_79498522
