pair_index,a_file,b_file
1,sample001_3c29c5ba,sample004_a72e2802
2,sample089_101bfe11,sample200_83850812
3,sample106_c90e83d6,sample145_685d512c
4,sample012_1a3238c3,sample171_02b13e1c
5,sample163_35d6a180,sample232_cf98e3c8
6,sample041_06592579,sample105_f7a5e5bd
7,sample072_ca368684,sample115_2bd91ef1
8,sample003_627b76ff,sample114_fdb345bb
9,sample016_ac47e9d0,sample161_02afb8cf
10,sample154_f1fb8e99,sample201_5430f370
11,sample027_cd0faf20,sample211_a2b39b71
12,sample048_e4494277,sample141_26c6fed8
13,sample107_a38717d4,sample141_26c6fed8
14,sample182_8f9fcbe1,sample239_70abef06
15,sample232_cf98e3c8,sample236_f3d5c89f
16,sample029_aad0d7e2,sample220_5a48d9b6
17,sample166_8454c459,sample225_ef9728ac
18,sample004_a72e2802,sample038_e6b5ca93
19,sample057_90715594,sample065_f352d7d0
20,sample025_76911851,sample070_ecd1d324
21,sample010_86c5159a,sample128_aab42a79
22,sample084_c70d4e6b,sample209_bed041d7
23,sample005_a84d1a77,sample209_bed041d7
24,sample225_ef9728ac,sample229_f92eb5b1
25,sample221_0d7c78bd,sample233_4e88157a
26,sample007_946106c1,sample165_c1292aad
27,sample178_cda48949,sample190_762dfa42
28,sample073_a3f37a12,sample093_1c1b1da8
29,sample003_627b76ff,sample050_9c28e790
30,sample008_056930c5,sample076_2a6025df
31,sample183_d2458868,sample218_2eaffa66
32,sample006_fe39613e,sample076_2a6025df
33,sample009_8fec8452,sample129_b27a25e9
34,sample001_3c29c5ba,sample088_4f85a4f9
35,sample030_2ec9f353,sample179_c2f90e43
36,sample234_553dcff0,sample246_3e302abd
37,sample006_fe39613e,sample011_25be81fc
38,sample130_f585db92,sample133_a07c1913
39,sample002_4e908fd2,sample228_398bd9c3
40,sample014_a74689c3,sample248_6f055ac4
41,sample018_c980f33d,sample061_cdf92033
42,sample009_8fec8452,sample155_0163e391
43,sample140_da40f457,sample153_285b89ed
44,sample018_c980f33d,sample131_26551668
45,sample036_c2d5e868,sample231_a7ca1cbe
46,sample005_a84d1a77,sample197_812fa3a5
47,sample003_627b76ff,sample240_f834f12b
48,sample009_8fec8452,sample018_c980f33d
49,sample009_8fec8452,sample202_3a6e070e
50,sample006_fe39613e,sample222_bfe748cb
