a_file,a_chunk_idx,a_chunk_total,b_file,b_chunk_idx,b_chunk_total,winner,replacement
speech_0908_11e92880,1,4,sample002_4e908fd2,1,3,1,0
sample003_627b76ff,1,10,sample002_4e908fd2,1,3,1,0
sample003_627b76ff,1,10,sample222_bfe748cb,1,4,1,0
sample033_e451edf0,1,3,sample222_bfe748cb,1,4,1,0
sample033_e451edf0,1,3,sample141_8b2cf3b6,1,12,1,0
sample204_baf7f138,1,10,sample141_8b2cf3b6,1,12,1,0
sample183_ca767767,1,3,sample204_baf7f138,1,10,1,0
sample233_4e88157a,1,3,sample183_ca767767,1,3,1,0
sample233_4e88157a,1,3,sample079_906be0f9,1,3,1,0
sample079_906be0f9,1,3,sample174_728e16bc,1,4,1,0
sample197_9fb7ce5f,1,4,sample174_728e16bc,1,4,1,0
sample197_9fb7ce5f,1,4,speech_0432_ecc70f99,1,12,1,0
sample091_671e5ef1,1,12,speech_0432_ecc70f99,1,12,1,0
sample159_918aa5c3,1,12,sample091_671e5ef1,1,12,1,0
sample159_918aa5c3,1,12,sample137_f533bb44,1,11,1,0
sample120_df4b6c69,1,9,sample137_f533bb44,1,11,1,0
sample218_2eaffa66,1,12,sample120_df4b6c69,1,9,2,0
sample218_2eaffa66,1,12,sample189_b2eb371f,1,9,2,0
sample072_ca368684,1,12,sample189_b2eb371f,1,9,2,0
sample021_d21d4bb3,1,9,sample072_ca368684,1,12,1,0
speech_0658_4764b9a3,1,10,sample021_d21d4bb3,1,9,1,0
sample083_f5ef4dc7,1,12,speech_0658_4764b9a3,1,10,1,0
sample238_fdf5ca49,1,3,sample083_f5ef4dc7,1,12,2,0
sample238_fdf5ca49,1,3,sample184_2c9ff4fe,1,3,2,0
sample158_3554df76,1,12,sample184_2c9ff4fe,1,3,2,0
sample026_cce061cf,1,12,sample158_3554df76,1,12,1,0
speech_0431_a2bad463,1,11,sample026_cce061cf,1,12,1,0
sample200_d8677912,1,5,speech_0431_a2bad463,1,11,1,0
sample166_8454c459,1,4,sample200_d8677912,1,5,2,0
sample166_8454c459,1,4,sample109_2f2d8c0a,1,12,2,0
sample244_f01a5078,1,6,sample109_2f2d8c0a,1,12,2,0
